# t1 t2 t3
0.0011450000 0.0121982000 0.0000341000
0.0012030000 0.0120499000 0.0000338000
0.0014294000 0.0125161000 0.0000327000
0.0011625000 0.0123497000 0.0000272000
0.0011603000 0.0136131000 0.0000353000
0.0012283000 0.0131669000 0.0000295000
0.0012777000 0.0143416000 0.0000353000
0.0012425000 0.0136612000 0.0000299000
0.0012786000 0.0132391000 0.0000346000
0.0012051000 0.0128523000 0.0000258000
0.0013967000 0.0134337000 0.0000636000
0.0012716000 0.0131866000 0.0000276000
0.0012448000 0.0135583000 0.0000341000
0.0012275000 0.0134103000 0.0000292000
0.0012390000 0.0136308000 0.0000343000
0.0012902000 0.0137840000 0.0000308000
0.0013013000 0.0144865000 0.0000381000
0.0013430000 0.0164675000 0.0000500000
0.0015491000 0.0152843000 0.0000595000
0.0013757000 0.0150655000 0.0000324000
0.0013657000 0.0152207000 0.0000385000
0.0013692000 0.0152726000 0.0000325000
0.0013801000 0.0156151000 0.0000599000
0.0013919000 0.0156650000 0.0000380000
0.0013991000 0.0159318000 0.0000411000
0.0014214000 0.0160808000 0.0000321000
0.0014056000 0.0159919000 0.0000397000
0.0014691000 0.0160827000 0.0000332000
0.0014204000 0.0163328000 0.0000402000
0.0014334000 0.0164118000 0.0000352000
0.0014879000 0.0165554000 0.0000405000
0.0016689000 0.0167809000 0.0000451000
0.0014448000 0.0168336000 0.0000463000
0.0014663000 0.0167960000 0.0000336000
0.0014672000 0.0169628000 0.0000404000
0.0014741000 0.0170404000 0.0000345000
0.0014847000 0.0172806000 0.0000410000
0.0015587000 0.0170926000 0.0000344000
0.0017906000 0.0175431000 0.0000418000
0.0015077000 0.0165665000 0.0000327000
0.0014107000 0.0164888000 0.0000389000
0.0014223000 0.0163320000 0.0000307000
0.0014177000 0.0175608000 0.0000482000
0.0014824000 0.0169564000 0.0000322000
0.0014434000 0.0174190000 0.0000408000
0.0017577000 0.0177753000 0.0000327000
0.0015676000 0.0188289000 0.0000503000
0.0014636000 0.0172657000 0.0000335000
0.0014644000 0.0175368000 0.0000407000
0.0014764000 0.0180070000 0.0000348000
0.0015564000 0.0190239000 0.0000436000
0.0017066000 0.0191909000 0.0000384000
0.0016189000 0.0192574000 0.0000485000
0.0016145000 0.0188508000 0.0000326000
0.0015095000 0.0181264000 0.0000392000
0.0015160000 0.0181896000 0.0000328000
0.0016042000 0.0184626000 0.0000428000
0.0015411000 0.0185499000 0.0000322000
0.0017212000 0.0187196000 0.0000394000
0.0015422000 0.0190056000 0.0000357000
0.0016564000 0.0202503000 0.0000518000
0.0016903000 0.0196778000 0.0000355000
0.0015748000 0.0209563000 0.0000419000
0.0015754000 0.0197034000 0.0000365000
0.0017915000 0.0198420000 0.0000466000
0.0015953000 0.0232068000 0.0000348000
0.0016812000 0.0199981000 0.0000429000
0.0017340000 0.0197690000 0.0000527000
0.0016332000 0.0200305000 0.0000493000
0.0016294000 0.0201369000 0.0000372000
0.0017896000 0.0211070000 0.0000665000
0.0017165000 0.0217119000 0.0000399000
0.0017414000 0.0215072000 0.0000450000
0.0016539000 0.0205787000 0.0000361000
0.0016417000 0.0208462000 0.0000417000
0.0016611000 0.0215939000 0.0000374000
0.0018058000 0.0225886000 0.0000465000
0.0017983000 0.0221602000 0.0000378000
0.0016934000 0.0215419000 0.0000451000
0.0017869000 0.0220962000 0.0000389000
0.0017716000 0.0233036000 0.0000494000
0.0018645000 0.0233683000 0.0000411000
0.0018545000 0.0235787000 0.0000490000
